ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Spent Range,Total_Conversion,Approved_Conversion,CTR,CPC,Conversion_rate,CPA,Enquiry_to_Sale_rate
708746,916,103916,30-34,M,15,7350,1,1.429999948,0-50,2,1,0.013605442176870748,1.429999948,100.0,1.429999948,50.0
708749,916,103917,30-34,M,16,17861,2,1.820000023,0-50,2,0,0.011197581322434353,0.9100000115,0.0,,0.0
708771,916,103920,30-34,M,20,693,0,0.0,0-50,1,0,0.0,,,,0.0
708815,916,103928,30-34,M,28,4259,1,1.25,0-50,1,0,0.0234796900680911,1.25,0.0,,0.0
708818,916,103928,30-34,M,28,4133,1,1.289999962,0-50,1,1,0.024195499637067505,1.289999962,100.0,1.289999962,100.0
708820,916,103929,30-34,M,29,1915,0,0.0,0-50,1,1,0.0,,,0.0,100.0
708889,916,103940,30-34,M,15,15615,3,4.769999981,0-50,1,0,0.01921229586935639,1.5899999936666667,0.0,,0.0
708895,916,103941,30-34,M,16,10951,1,1.269999981,0-50,1,1,0.009131586156515386,1.269999981,100.0,1.269999981,100.0
708953,916,103951,30-34,M,27,2355,1,1.5,0-50,1,0,0.04246284501061571,1.5,0.0,,0.0
708958,916,103952,30-34,M,28,9502,3,3.159999967,0-50,1,0,0.03157230056830141,1.0533333223333334,0.0,,0.0
708979,916,103955,30-34,M,31,1224,0,0.0,0-50,1,0,0.0,,,,0.0
709023,916,103962,30-34,M,7,735,0,0.0,0-50,1,0,0.0,,,,0.0
709038,916,103965,30-34,M,16,5117,0,0.0,0-50,1,0,0.0,,,,0.0
709040,916,103965,30-34,M,16,5120,0,0.0,0-50,1,0,0.0,,,,0.0
709059,916,103968,30-34,M,20,14669,7,10.28000021,0-50,1,1,0.0477196809598473,1.4685714585714287,14.285714285714286,10.28000021,100.0
709105,916,103976,30-34,M,28,1241,0,0.0,0-50,1,1,0.0,,,0.0,100.0
709115,916,103978,30-34,M,30,2305,1,0.569999993,0-50,1,0,0.04338394793926247,0.569999993,0.0,,0.0
709124,916,103979,30-34,M,31,1024,0,0.0,0-50,1,1,0.0,,,0.0,100.0
709179,916,103988,35-39,M,15,4627,1,1.690000057,0-50,1,0,0.02161227577263886,1.690000057,0.0,,0.0
709183,916,103989,35-39,M,16,21026,4,4.630000114,0-50,2,1,0.019024065442785124,1.1575000285,25.0,4.630000114,50.0
709320,916,104012,35-39,M,15,1422,0,0.0,0-50,1,1,0.0,,,0.0,100.0
709323,916,104012,35-39,M,15,7132,2,2.609999895,0-50,1,0,0.028042624789680313,1.3049999475,0.0,,0.0
709326,916,104013,35-39,M,16,12190,2,3.049999952,0-50,1,0,0.016406890894175553,1.524999976,0.0,,0.0
709327,916,104013,35-39,M,16,12193,2,3.059999943,0-50,1,1,0.01640285409661281,1.5299999715,50.0,3.059999943,100.0
709328,916,104013,35-39,M,16,3332,0,0.0,0-50,1,1,0.0,,,0.0,100.0
709455,916,104034,35-39,M,7,559,0,0.0,0-50,1,0,0.0,,,,0.0
709544,916,104049,35-39,M,29,7440,2,2.980000019,0-50,1,1,0.026881720430107527,1.4900000095,50.0,2.980000019,100.0
709614,916,104061,40-44,M,16,19113,4,5.5200001,0-50,1,0,0.020928164076806362,1.380000025,0.0,,0.0
709756,916,104085,40-44,M,16,10976,2,1.690000057,0-50,1,1,0.018221574344023325,0.8450000285,50.0,1.690000057,100.0
